years	months	days	hours	minutes	seconds	Q
2009	8	16	4	42	0	NaN
2009	8	16	4	43	0	NaN
2009	8	16	4	44	0	NaN
2009	8	16	4	45	0	NaN
2009	8	16	4	46	0	NaN
2009	8	16	4	47	0	NaN
2009	8	16	4	48	0	NaN
2009	8	16	4	49	0	NaN
2009	8	16	4	50	0	NaN
2009	8	16	4	51	0	NaN
2009	8	16	4	52	0	NaN
2009	8	16	4	53	0	NaN
2009	8	16	4	54	0	NaN
2009	8	16	4	55	0	NaN
2009	8	16	4	56	0	NaN
2009	8	16	4	57	0	NaN
2009	8	16	4	58	0	NaN
2009	8	16	4	59	0	NaN
2009	8	16	5	0	0	NaN
2009	8	16	5	1	0	NaN
2009	8	16	5	2	0	NaN
2009	8	16	5	3	0	NaN
2009	8	16	5	4	0	NaN
2009	8	16	5	5	0	NaN
2009	8	16	5	6	0	NaN
2009	8	16	5	7	0	NaN
2009	8	16	5	8	0	NaN
2009	8	16	5	9	0	NaN
2009	8	16	5	10	0	NaN
2009	8	16	5	11	0	NaN
2009	8	16	5	12	0	NaN
2009	8	16	5	13	0	NaN
2009	8	16	5	14	0	NaN
2009	8	16	5	15	0	NaN
2009	8	16	5	16	0	NaN
2009	8	16	5	17	0	NaN
2009	8	16	5	18	0	NaN
2009	8	16	5	19	0	NaN
2009	8	16	5	20	0	NaN
2009	8	16	5	21	0	NaN
2009	8	16	5	22	0	NaN
2009	8	16	5	23	0	NaN
2009	8	16	5	24	0	NaN
2009	8	16	5	25	0	NaN
2009	8	16	5	26	0	NaN
2009	8	16	5	27	0	NaN
2009	8	16	5	28	0	NaN
2009	8	16	5	29	0	NaN
2009	8	16	5	30	0	NaN
2009	8	16	5	31	0	NaN
2009	8	16	5	32	0	NaN
2009	8	16	5	33	0	NaN
2009	8	16	5	34	0	NaN
2009	8	16	5	35	0	NaN
2009	8	16	5	36	0	NaN
2009	8	16	5	37	0	NaN
2009	8	16	5	38	0	NaN
2009	8	16	5	39	0	NaN
2009	8	16	5	40	0	NaN
2009	8	16	5	41	0	NaN
2009	8	16	5	42	0	NaN
2009	8	16	5	43	0	NaN
2009	8	16	5	44	0	NaN
2009	8	16	5	45	0	NaN
2009	8	16	5	46	0	NaN
2009	8	16	5	47	0	NaN
2009	8	16	5	48	0	NaN
2009	8	16	5	49	0	NaN
2009	8	16	5	50	0	NaN
2009	8	16	5	51	0	NaN
2009	8	16	5	52	0	NaN
2009	8	16	5	53	0	NaN
2009	8	16	5	54	0	NaN
2009	8	16	5	55	0	NaN
2009	8	16	5	56	0	NaN
2009	8	16	5	57	0	NaN
2009	8	16	5	58	0	NaN
2009	8	16	5	59	0	NaN
2009	8	16	6	0	0	NaN
2009	8	16	6	1	0	NaN
2009	8	16	6	2	0	NaN
2009	8	16	6	3	0	NaN
2009	8	16	6	4	0	NaN
2009	8	16	6	5	0	NaN
2009	8	16	6	6	0	NaN
2009	8	16	6	7	0	NaN
2009	8	16	6	8	0	NaN
2009	8	16	6	9	0	NaN
2009	8	16	6	10	0	NaN
2009	8	16	6	11	0	NaN
2009	8	16	6	12	0	NaN
2009	8	16	6	13	0	NaN
2009	8	16	6	14	0	NaN
2009	8	16	6	15	0	NaN
2009	8	16	6	16	0	NaN
2009	8	16	6	17	0	NaN
2009	8	16	6	18	0	NaN
2009	8	16	6	19	0	NaN
2009	8	16	6	20	0	NaN
2009	8	16	6	21	0	NaN
2009	8	16	6	22	0	NaN
2009	8	16	6	23	0	NaN
2009	8	16	6	24	0	NaN
2009	8	16	6	25	0	NaN
2009	8	16	6	26	0	NaN
2009	8	16	6	27	0	NaN
2009	8	16	6	28	0	NaN
2009	8	16	6	29	0	NaN
2009	8	16	6	30	0	NaN
2009	8	16	6	31	0	NaN
2009	8	16	6	32	0	NaN
2009	8	16	6	33	0	NaN
2009	8	16	6	34	0	NaN
2009	8	16	6	35	0	NaN
2009	8	16	6	36	0	NaN
2009	8	16	6	37	0	NaN
2009	8	16	6	38	0	NaN
2009	8	16	6	39	0	NaN
2009	8	16	6	40	0	NaN
2009	8	16	6	41	0	NaN
2009	8	16	6	42	0	NaN
2009	8	16	6	43	0	NaN
2009	8	16	6	44	0	NaN
2009	8	16	6	45	0	NaN
2009	8	16	6	46	0	NaN
2009	8	16	6	47	0	NaN
2009	8	16	6	48	0	NaN
2009	8	16	6	49	0	NaN
2009	8	16	6	50	0	NaN
2009	8	16	6	51	0	NaN
2009	8	16	6	52	0	NaN
2009	8	16	6	53	0	NaN
2009	8	16	6	54	0	NaN
2009	8	16	6	55	0	NaN
2009	8	16	6	56	0	NaN
2009	8	16	6	57	0	NaN
2009	8	16	6	58	0	NaN
2009	8	16	6	59	0	37884.6749178282
2009	8	16	7	0	0	37875.7134382929
2009	8	16	7	1	0	37868.5423001667
2009	8	16	7	2	0	37861.7178222838
2009	8	16	7	3	0	37853.6683167879
2009	8	16	7	4	0	37845.0827174599
2009	8	16	7	5	0	37835.9685314549
2009	8	16	7	6	0	37826.3464582981
2009	8	16	7	7	0	37816.236136559
2009	8	16	7	8	0	37805.6564868713
2009	8	16	7	9	0	37794.6257139921
2009	8	16	7	10	0	37783.1613392065
2009	8	16	7	11	0	37771.2802282116
2009	8	16	7	12	0	37758.9986007865
2009	8	16	7	13	0	37746.3320771754
2009	8	16	7	14	0	37733.2956849966
2009	8	16	7	15	0	37719.9038743257
2009	8	16	7	16	0	37706.1705605578
2009	8	16	7	17	0	37692.1091291012
2009	8	16	7	18	0	37677.7324482889
2009	8	16	7	19	0	37663.0529101325
2009	8	16	7	20	0	37648.082432974
2009	8	16	7	21	0	37632.8324724199
2009	8	16	7	22	0	37617.314060175
2009	8	16	7	23	0	37601.5378018032
2009	8	16	7	24	0	37585.5138989816
2009	8	16	7	25	0	37569.2521676601
2009	8	16	7	26	0	37552.7620383099
2009	8	16	7	27	0	37536.0525931557
2009	8	16	7	28	0	37519.132564238
2009	8	16	7	29	0	37502.0103399319
2009	8	16	7	30	0	37484.6939994859
2009	8	16	7	31	0	37467.1913096928
2009	8	16	7	32	0	37449.5097300369
2009	8	16	7	33	0	37431.6564458977
2009	8	16	7	34	0	37413.6383639444
2009	8	16	7	35	0	37395.4621160492
2009	8	16	7	36	0	37377.1340912867
2009	8	16	7	37	0	37358.6604301816
2009	8	16	7	38	0	37340.0470275125
2009	8	16	7	39	0	37321.2995632266
2009	8	16	7	40	0	37302.4234926304
2009	8	16	7	41	0	37283.4240612797
2009	8	16	7	42	0	37264.3063160356
2009	8	16	7	43	0	37245.0750984916
2009	8	16	7	44	0	37225.7350755316
2009	8	16	7	45	0	37206.2907310403
2009	8	16	7	46	0	37186.746366276
2009	8	16	7	47	0	37167.1061283993
2009	8	16	7	48	0	37147.374001444
2009	8	16	7	49	0	37127.5538059457
2009	8	16	7	50	0	37107.6492267397
2009	8	16	7	51	0	37087.6638032467
2009	8	16	7	52	0	37067.6009284389
2009	8	16	7	53	0	37047.4638759804
2009	8	16	7	54	0	37027.2557868831
2009	8	16	7	55	0	37006.9796809261
2009	8	16	7	56	0	36986.6384643764
2009	8	16	7	57	0	36966.2349202487
2009	8	16	7	58	0	36945.7717357089
2009	8	16	7	59	0	36925.2514908511
2009	8	16	8	0	0	36904.6766562225
2009	8	16	8	1	0	36887.3195277219
2009	8	16	8	2	0	36871.0024488879
2009	8	16	8	3	0	36852.7559419309
2009	8	16	8	4	0	36833.8074722969
2009	8	16	8	5	0	36814.1611700467
2009	8	16	8	6	0	36793.8455269089
2009	8	16	8	7	0	36772.887418175
2009	8	16	8	8	0	36751.3126731545
2009	8	16	8	9	0	36729.146108128
2009	8	16	8	10	0	36706.4115686411
2009	8	16	8	11	0	36683.1319541932
2009	8	16	8	12	0	36659.3292731128
2009	8	16	8	13	0	36635.0246651374
2009	8	16	8	14	0	36610.2384286642
2009	8	16	8	15	0	36584.9900708812
2009	8	16	8	16	0	36559.2983267585
2009	8	16	8	17	0	36533.1811827964
2009	8	16	8	18	0	36506.6559237346
2009	8	16	8	19	0	36479.7391482663
2009	8	16	8	20	0	36452.4467896099
2009	8	16	8	21	0	36424.7941591131
2009	8	16	8	22	0	36396.7959590031
2009	8	16	8	23	0	36368.4663000889
2009	8	16	8	24	0	36339.8187425562
2009	8	16	8	25	0	36310.8663036042
2009	8	16	8	26	0	36281.6214829348
2009	8	16	8	27	0	36252.0962865952
2009	8	16	8	28	0	36222.3022341642
2009	8	16	8	29	0	36192.2503964513
2009	8	16	8	30	0	36161.9514016987
2009	8	16	8	31	0	36131.4154469655
2009	8	16	8	32	0	36100.6523327233
2009	8	16	8	33	0	36069.6714670856
2009	8	16	8	34	0	36038.4818752595
2009	8	16	8	35	0	36007.0922322408
2009	8	16	8	36	0	35975.5108652618
2009	8	16	8	37	0	35943.7457615197
2009	8	16	8	38	0	35911.8045991683
2009	8	16	8	39	0	35879.6947457554
2009	8	16	8	40	0	35847.423274702
2009	8	16	8	41	0	35814.9969804692
2009	8	16	8	42	0	35782.4223775173
2009	8	16	8	43	0	35749.7057298242
2009	8	16	8	44	0	35716.8530494637
2009	8	16	8	45	0	35683.8701006014
2009	8	16	8	46	0	35650.7624267788
2009	8	16	8	47	0	35617.5353483545
2009	8	16	8	48	0	35584.1939653762
2009	8	16	8	49	0	35550.7431837385
2009	8	16	8	50	0	35517.1877115987
2009	8	16	8	51	0	35483.5320612519
2009	8	16	8	52	0	35449.7805742836
2009	8	16	8	53	0	35415.9374146757
2009	8	16	8	54	0	35382.0065799919
2009	8	16	8	55	0	35347.9919114645
2009	8	16	8	56	0	35313.8970882111
2009	8	16	8	57	0	35279.7256519105
2009	8	16	8	58	0	35245.4810010072
2009	8	16	8	59	0	35211.16639045
2009	8	16	9	0	0	35176.7849546626
2009	8	16	9	1	0	35152.3695658178
2009	8	16	9	2	0	35128.2188152557
2009	8	16	9	3	0	35096.4068224739
2009	8	16	9	4	0	35060.7332520337
2009	8	16	9	5	0	35021.2747648656
2009	8	16	9	6	0	34978.1777163016
2009	8	16	9	7	0	34931.5809412679
2009	8	16	9	8	0	34881.6175368781
2009	8	16	9	9	0	34828.415042224
2009	8	16	9	10	0	34772.0956396221
2009	8	16	9	11	0	34712.7763460282
2009	8	16	9	12	0	34650.5692124035
2009	8	16	9	13	0	34585.5815012999
2009	8	16	9	14	0	34517.9158752448
2009	8	16	9	15	0	34447.6705733973
2009	8	16	9	16	0	34374.9395759884
2009	8	16	9	17	0	34299.8127767695
2009	8	16	9	18	0	34222.3761440015
2009	8	16	9	19	0	34142.7118692167
2009	8	16	9	20	0	34060.8985240008
2009	8	16	9	21	0	33977.0112054853
2009	8	16	9	22	0	33891.1216697685
2009	8	16	9	23	0	33803.2984735094
2009	8	16	9	24	0	33713.6071038478
2009	8	16	9	25	0	33622.1100988715
2009	8	16	9	26	0	33528.867176132
2009	8	16	9	27	0	33433.9353399461
2009	8	16	9	28	0	33337.3689998252
2009	8	16	9	29	0	33239.220078282
2009	8	16	9	30	0	33139.5381073864
2009	8	16	9	31	0	33038.3703342212
2009	8	16	9	32	0	32935.7618164395
2009	8	16	9	33	0	32831.7555069235
2009	8	16	9	34	0	32726.3923476514
2009	8	16	9	35	0	32619.7113541094
2009	8	16	9	36	0	32511.7496891608
2009	8	16	9	37	0	32402.5427464217
2009	8	16	9	38	0	32292.1242239656
2009	8	16	9	39	0	32180.5261900386
2009	8	16	9	40	0	32067.7791584749
2009	8	16	9	41	0	31953.9121447819
2009	8	16	9	42	0	31838.952734621
2009	8	16	9	43	0	31722.927143691
2009	8	16	9	44	0	31605.8602679342
2009	8	16	9	45	0	31487.7757439398
2009	8	16	9	46	0	31368.6960014083
2009	8	16	9	47	0	31248.6423062098
2009	8	16	9	48	0	31127.6348138503
2009	8	16	9	49	0	31005.692615359
2009	8	16	9	50	0	30882.8337740208
2009	8	16	9	51	0	30759.0753726956
2009	8	16	9	52	0	30634.4335538978
2009	8	16	9	53	0	30508.9235509419
2009	8	16	9	54	0	30382.559729829
2009	8	16	9	55	0	30255.3556235926
2009	8	16	9	56	0	30127.3239599099
2009	8	16	9	57	0	29998.4766998975
2009	8	16	9	58	0	29868.82505933
2009	8	16	9	59	0	29738.3795430992
2009	8	16	10	0	0	29607.1499729692
2009	8	16	10	1	0	29494.3428456848
2009	8	16	10	2	0	29383.5174635234
2009	8	16	10	3	0	29258.6827718447
2009	8	16	10	4	0	29126.9170433127
2009	8	16	10	5	0	28988.2925468175
2009	8	16	10	6	0	28842.9892959015
2009	8	16	10	7	0	28691.1762103011
2009	8	16	10	8	0	28533.0133636146
2009	8	16	10	9	0	28368.6522477377
2009	8	16	10	10	0	28198.2360194859
2009	8	16	10	11	0	28021.8997749395
2009	8	16	10	12	0	27839.7708008001
2009	8	16	10	13	0	27651.968804534
2009	8	16	10	14	0	27458.6061736626
2009	8	16	10	15	0	27259.7881980157
2009	8	16	10	16	0	27055.613276556
2009	8	16	10	17	0	26846.1731510497
2009	8	16	10	18	0	26631.5531022665
2009	8	16	10	19	0	26411.8321308864
2009	8	16	10	20	0	26187.0831642942
2009	8	16	10	21	0	25957.3732258423
2009	8	16	10	22	0	25722.7635893073
2009	8	16	10	23	0	25483.309960756
2009	8	16	10	24	0	25239.0626080463
2009	8	16	10	25	0	24990.0665162469
2009	8	16	10	26	0	24736.361516635
2009	8	16	10	27	0	24477.9823967396
2009	8	16	10	28	0	24214.9590353503
2009	8	16	10	29	0	23947.3165007057
2009	8	16	10	30	0	23675.0751359901
2009	8	16	10	31	0	23398.2506682897
2009	8	16	10	32	0	23116.8542810939
2009	8	16	10	33	0	22830.892674969
2009	8	16	10	34	0	22540.3681509574
2009	8	16	10	35	0	22245.278657823
2009	8	16	10	36	0	21945.6178282875
2009	8	16	10	37	0	21641.3750371234
2009	8	16	10	38	0	21332.5354233005
2009	8	16	10	39	0	21019.0799018509
2009	8	16	10	40	0	20700.9851983848
2009	8	16	10	41	0	20378.2238349531
2009	8	16	10	42	0	20050.7641418829
2009	8	16	10	43	0	19718.5702407813
2009	8	16	10	44	0	19381.6020140239
2009	8	16	10	45	0	19039.8150935159
2009	8	16	10	46	0	18693.1608132866
2009	8	16	10	47	0	18341.586153014
2009	8	16	10	48	0	17985.033698443
2009	8	16	10	49	0	17623.4415651595
2009	8	16	10	50	0	17256.7433133486
2009	8	16	10	51	0	16884.8678774145
2009	8	16	10	52	0	16507.7394581658
2009	8	16	10	53	0	16125.2774057359
2009	8	16	10	54	0	15737.3961163267
2009	8	16	10	55	0	15344.0048798651
2009	8	16	10	56	0	14945.0077489096
2009	8	16	10	57	0	14540.3033713635
2009	8	16	10	58	0	14129.7848097013
2009	8	16	10	59	0	13713.3393679128
2009	8	16	11	0	0	13290.8483767827
2009	8	16	11	1	0	12866.3086544058
2009	8	16	11	2	0	12452.9041188348
2009	8	16	11	3	0	12041.162732631
2009	8	16	11	4	0	11632.3042454807
2009	8	16	11	5	0	11226.0945790243
2009	8	16	11	6	0	10822.3157919694
2009	8	16	11	7	0	10420.7561451313
2009	8	16	11	8	0	10021.2096962626
2009	8	16	11	9	0	9623.4758437309
2009	8	16	11	10	0	9227.35890156552
2009	8	16	11	11	0	8832.66769689723
2009	8	16	11	12	0	8439.21517336507
2009	8	16	11	13	0	8046.81802930519
2009	8	16	11	14	0	7655.29636284277
2009	8	16	11	15	0	7264.47332344805
2009	8	16	11	16	0	6874.17479115012
2009	8	16	11	17	0	6484.22905885965
2009	8	16	11	18	0	6094.46651858865
2009	8	16	11	19	0	5704.71936952305
2009	8	16	11	20	0	5314.82132607629
2009	8	16	11	21	0	4924.6073278599
2009	8	16	11	22	0	4533.91326624289
2009	8	16	11	23	0	4142.57570820823
2009	8	16	11	24	0	3750.43162052677
2009	8	16	11	25	0	3357.31810610448
2009	8	16	11	26	0	2963.07213194132
2009	8	16	11	27	0	2567.5302643954
2009	8	16	11	28	0	2170.5284008883
2009	8	16	11	29	0	1771.90149830449
2009	8	16	11	30	0	1371.48330530156
2009	8	16	11	31	0	969.106085597143
2009	8	16	11	32	0	564.600337919921
2009	8	16	11	33	0	157.794514817103
2009	8	16	11	34	0	-251.485270057781
2009	8	16	11	35	0	-663.318068455277
2009	8	16	11	36	0	-1077.43325559613
2009	8	16	11	37	0	-1493.64487997939
2009	8	16	11	38	0	-1911.77783493518
2009	8	16	11	39	0	-2331.65529789469
2009	8	16	11	40	0	-2753.09902921349
2009	8	16	11	41	0	-3175.92967475765
2009	8	16	11	42	0	-3599.9670785555
2009	8	16	11	43	0	-4025.03059009089
2009	8	16	11	44	0	-4450.93937566783
2009	8	16	11	45	0	-4877.51273286874
2009	8	16	11	46	0	-5304.57039539814
2009	8	16	11	47	0	-5731.93284060805
2009	8	16	11	48	0	-6159.42159626775
2009	8	16	11	49	0	-6586.85953285539
2009	8	16	11	50	0	-7014.07115739914
2009	8	16	11	51	0	-7440.88290294545
2009	8	16	11	52	0	-7867.123398983
2009	8	16	11	53	0	-8292.62374369701
2009	8	16	11	54	0	-8717.21776351276
2009	8	16	11	55	0	-9140.74225780749
2009	8	16	11	56	0	-9563.03724378301
2009	8	16	11	57	0	-9983.94617285217
2009	8	16	11	58	0	-10403.3161479734
2009	8	16	11	59	0	-10820.9981292467
2009	8	16	12	0	0	-11236.8471108253
2009	8	16	12	1	0	-11648.7947952135
2009	8	16	12	2	0	-12051.1287365578
2009	8	16	12	3	0	-12447.8365935025
2009	8	16	12	4	0	-12838.1698471666
2009	8	16	12	5	0	-13222.0632874883
2009	8	16	12	6	0	-13599.4563981265
2009	8	16	12	7	0	-13970.2968885404
2009	8	16	12	8	0	-14334.5404937394
2009	8	16	12	9	0	-14692.1507693481
2009	8	16	12	10	0	-15043.0988930118
2009	8	16	12	11	0	-15387.3634381107
2009	8	16	12	12	0	-15724.9301441569
2009	8	16	12	13	0	-16055.7916817952
2009	8	16	12	14	0	-16379.9473936132
2009	8	16	12	15	0	-16697.4030495796
2009	8	16	12	16	0	-17008.1705895916
2009	8	16	12	17	0	-17312.2678486956
2009	8	16	12	18	0	-17609.7183012933
2009	8	16	12	19	0	-17900.5507955682
2009	8	16	12	20	0	-18184.7992730271
2009	8	16	12	21	0	-18462.5025113182
