years	months	days	hours	minutes	seconds	Q	u_Q
2009	6	15	15	20	0	44638.725	2111.4116925
2009	6	15	15	22	0	44603.15	2109.728995
2009	6	15	15	24	0	44564.645	2107.9077085
2009	6	15	15	26	0	44523.26	2105.950198
2009	6	15	15	28	0	44479.05	2103.859065
2009	6	15	15	30	0	44432.055	2101.6362015
2009	6	15	15	32	0	44382.325	2099.2839725
2009	6	15	15	34	0	44329.89	2096.803797
2009	6	15	15	36	0	44274.785	2094.1973305
2009	6	15	15	38	0	44217.035	2091.4657555
2009	6	15	15	40	0	44156.66	2088.610018
2009	6	15	15	42	0	44093.66	2085.630118
2009	6	15	15	44	0	44027.81	2082.515413
2009	6	15	15	46	0	43958.435	2079.2339755
2009	6	15	15	48	0	43884.69	2075.745837
2009	6	15	15	50	0	43805.84	2072.016232
2009	6	15	15	52	0	43721.55	2068.029315
2009	6	15	15	54	0	43632.03	2063.795019
2009	6	15	15	56	0	43537.805	2059.3381765
2009	6	15	15	58	0	43439.72	2054.698756
2009	6	15	16	0	0	43339.55	2049.960715
2009	6	15	16	2	0	43249.415	2045.6973295
2009	6	15	16	4	0	43151.26	2041.054598
2009	6	15	16	6	0	43056.39	2036.567247
2009	6	15	16	8	0	42965.3	2032.25869
2009	6	15	16	10	0	42878.14	2028.136022
2009	6	15	16	12	0	42753.48	2022.239604
2009	6	15	16	14	0	42672.325	2018.4009725
2009	6	15	16	16	0	42591.35	2014.570855
2009	6	15	16	18	0	42508.965	2010.6740445
2009	6	15	16	20	0	42424.06	2006.658038
2009	6	15	16	22	0	42336.48	2002.515504
2009	6	15	16	24	0	42247.165	1998.2909045
2009	6	15	16	26	0	42169.365	1994.6109645
2009	6	15	16	28	0	42083.4	1990.54482
2009	6	15	16	30	0	42000.945	1986.6446985
2009	6	15	16	32	0	41921.635	1982.8933355
2009	6	15	16	34	0	41843.985	1979.2204905
2009	6	15	16	36	0	41766.745	1975.5670385
2009	6	15	16	38	0	41689.245	1971.9012885
2009	6	15	16	40	0	41611.2	1968.20976
2009	6	15	16	42	0	41532.54	1964.489142
2009	6	15	16	44	0	41453.52	1960.751496
2009	6	15	16	46	0	41374.625	1957.0197625
2009	6	15	16	48	0	41276.33	1952.370409
2009	6	15	16	50	0	41196.335	1948.5866455
2009	6	15	16	52	0	41116.085	1944.7908205
2009	6	15	16	54	0	41035.655	1940.9864815
2009	6	15	16	56	0	40955.02	1937.172446
2009	6	15	16	58	0	40874.24	1933.351552
2009	6	15	17	0	0	40793.38	1929.526874
2009	6	15	17	2	0	40712.265	1925.6901345
2009	6	15	17	4	0	40630.73	1921.833529
2009	6	15	17	6	0	40548.965	1917.9660445
2009	6	15	17	8	0	40467.35	1914.105655
2009	6	15	17	10	0	40386.345	1910.2741185
2009	6	15	17	12	0	40306.7	1906.50691
2009	6	15	17	14	0	40229.455	1902.8532215
2009	6	15	17	16	0	40155.48	1899.354204
2009	6	15	17	18	0	40085.21	1896.030433
2009	6	15	17	20	0	40018.985	1892.8979905
2009	6	15	17	22	0	39956.97	1889.964681
2009	6	15	17	24	0	39899.255	1887.2347615
2009	6	15	17	26	0	39845.955	1884.7136715
2009	6	15	17	28	0	39797.165	1882.4059045
2009	6	15	17	30	0	39753	1880.3169
2009	6	15	17	32	0	39713.545	1878.4506785
2009	6	15	17	34	0	39678.63	1876.799199
2009	6	15	17	36	0	39668.975	1876.3425175
2009	6	15	17	38	0	39640.76	1875.007948
2009	6	15	17	40	0	39614.71	1873.775783
2009	6	15	17	42	0	39606.425	1873.3839025
2009	6	15	17	44	0	39579.975	1872.1328175
2009	6	15	17	46	0	39552.06	1870.812438
2009	6	15	17	48	0	39521.915	1869.3865795
2009	6	15	17	50	0	39488.765	1867.8185845
2009	6	15	17	52	0	39452.11	1866.084803
2009	6	15	17	54	0	39411.565	1864.1670245
2009	6	15	17	56	0	39366.72	1862.045856
2009	6	15	17	58	0	39317.32	1859.709236
2009	6	15	18	0	0	39263.445	1857.1609485
2009	6	15	18	2	0	39204.72	1854.383256
2009	6	15	18	4	0	39139.795	1851.3123035
2009	6	15	18	6	0	39066.37	1847.839301
2009	6	15	18	8	0	38982.25	1843.860425
2009	6	15	18	10	0	38885.295	1839.2744535
2009	6	15	18	12	0	38774.475	1834.0326675
2009	6	15	18	14	0	38649.445	1828.1187485
2009	6	15	18	16	0	38510.28	1821.536244
2009	6	15	18	18	0	38356.805	1814.2768765
2009	6	15	18	20	0	38188.855	1806.3328415
2009	6	15	18	22	0	38006.41	1797.703193
2009	6	15	18	24	0	37809.78	1788.402594
2009	6	15	18	26	0	37599.17	1778.440741
2009	6	15	18	28	0	37374.19	1767.799187
2009	6	15	18	30	0	37134.345	1756.4545185
2009	6	15	18	32	0	36879.14	1744.383322
2009	6	15	18	34	0	36608.04	1731.560292
2009	6	15	18	36	0	36320.545	1717.9617785
2009	6	15	18	38	0	36016.35	1703.573355
2009	6	15	18	40	0	35695.625	1688.4030625
2009	6	15	18	42	0	35358.385	1672.4516105
2009	6	15	18	44	0	35004.47	1655.711431
2009	6	15	18	46	0	34610.085	1637.0570205
2009	6	15	18	48	0	34221.11	1618.658503
2009	6	15	18	50	0	33813.45	1599.376185
2009	6	15	18	52	0	33386.71	1579.191383
2009	6	15	18	54	0	32940.9	1558.10457
2009	6	15	18	56	0	32476.67	1536.146491
2009	6	15	18	58	0	31994.89	1513.358297
2009	6	15	19	0	0	31496.34	1489.776882
2009	6	15	19	2	0	30981.32	1465.416436
2009	6	15	19	4	0	30450.185	1440.2937505
2009	6	15	19	6	0	29871.1	1412.90303
2009	6	15	19	8	0	29305.045	1386.1286285
2009	6	15	19	10	0	28720.74	1358.491002
2009	6	15	19	12	0	28119.995	1330.0757635
2009	6	15	19	14	0	27466.925	1299.1855525
2009	6	15	19	16	0	26837.435	1269.4106755
2009	6	15	19	18	0	26175.05	1238.079865
2009	6	15	19	20	0	25474.545	1204.9459785
2009	6	15	19	22	0	24813.375	1173.6726375
2009	6	15	19	24	0	24141.635	1141.8993355
2009	6	15	19	26	0	23390.13	1106.353149
2009	6	15	19	28	0	22703.44	1073.872712
2009	6	15	19	30	0	22008.7	1041.01151
2009	6	15	19	32	0	21308.615	1007.8974895
2009	6	15	19	34	0	20512.18	970.226114
2009	6	15	19	36	0	19805.925	936.8202525
2009	6	15	19	38	0	19094.86	903.186878
2009	6	15	19	40	0	18381.97	869.467181
2009	6	15	19	42	0	17560.87	830.629151
2009	6	15	19	44	0	16847.605	796.8917165
2009	6	15	19	46	0	16010.255	757.2850615
2009	6	15	19	48	0	15298.94	723.639862
2009	6	15	19	50	0	14580.605	689.6626165
2009	6	15	19	52	0	13864.58	655.794634
2009	6	15	19	54	0	13045.115	617.0339395
2009	6	15	19	56	0	12331.655	583.2872815
2009	6	15	19	58	0	11616.87	549.477951
2009	6	15	20	0	0	10906.18	515.862314
2009	6	15	20	2	0	10131.26	479.208598
2009	6	15	20	4	0	9428.985	445.9909905
2009	6	15	20	6	0	8730.46	412.950758
2009	6	15	20	8	0	8033.535	379.9862055
2009	6	15	20	10	0	7298.02	345.196346
2009	6	15	20	12	0	6614.775	312.8788575
2009	6	15	20	14	0	5933.625	280.6604625
2009	6	15	20	16	0	5228.84	247.324132
2009	6	15	20	18	0	4559.83	215.679959
2009	6	15	20	20	0	3894.07	184.189511
2009	6	15	20	22	0	3221.955	152.3984715
2009	6	15	20	24	0	2543.35	120.300455
2009	6	15	20	26	0	1897.655	89.7590815
2009	6	15	20	28	0	1225.49	57.965677
2009	6	15	20	30	0	577.965	27.3377445
2009	6	15	20	32	0	-66.03	-3.123219
2009	6	15	20	34	0	-706.995	-33.4408635
2009	6	15	20	36	0	-1355.615	-64.1205895
2009	6	15	20	38	0	-2075.215	-98.1576695
2009	6	15	20	40	0	-2741.875	-129.6906875
2009	6	15	20	42	0	-3363.92	-159.113416
2009	6	15	20	44	0	-4003.57	-189.368861
2009	6	15	20	46	0	-4644.625	-219.6907625
2009	6	15	20	48	0	-5293.18	-250.367414
2009	6	15	20	50	0	-5943.86	-281.144578
2009	6	15	20	52	0	-6583.165	-311.3837045
2009	6	15	20	54	0	-7221.395	-341.5719835
2009	6	15	20	56	0	-7864.8	-372.00504
2009	6	15	20	58	0	-8511.135	-402.5766855
2009	6	15	21	0	0	-9159.905	-433.2635065
2009	6	15	21	2	0	-9811.07	-464.063611
2009	6	15	21	4	0	-10445.945	-494.0931985
