years	months	days	hours	minutes	seconds	Q	u_Q
2009	6	26	15	4	0	20821.26	939.038826
2009	6	26	15	6	0	20812.35	938.636985
2009	6	26	15	8	0	20803.01	938.215751
2009	6	26	15	10	0	20677.88	932.572388
2009	6	26	15	12	0	20579.52	928.136352
2009	6	26	15	14	0	20563.81	927.427831
2009	6	26	15	16	0	20550.54	926.829354
2009	6	26	15	18	0	20535.6	926.15556
2009	6	26	15	20	0	20519.38	925.424038
2009	6	26	15	22	0	20502.44	924.660044
2009	6	26	15	24	0	20485.01	923.873951
2009	6	26	15	26	0	20467.08	923.065308
2009	6	26	15	28	0	20448.8	922.24088
2009	6	26	15	30	0	20434.05	921.575655
2009	6	26	15	32	0	20416.51	920.784601
2009	6	26	15	34	0	20400.02	920.040902
2009	6	26	15	36	0	20384.77	919.353127
2009	6	26	15	38	0	20371.15	918.738865
2009	6	26	15	40	0	20359.65	918.220215
2009	6	26	15	42	0	20350.95	917.827845
2009	6	26	15	44	0	20345.75	917.593325
2009	6	26	15	46	0	20344.64	917.543264
2009	6	26	15	48	0	20347.56	917.674956
2009	6	26	15	50	0	20354.1	917.96991
2009	6	26	15	52	0	20363.78	918.406478
2009	6	26	15	54	0	20407.62	920.383662
